Date,Open,High,Low,Close,Adj Close,Volume
2015-08-07,0.000000,79.561745,0.000000,100.855988,100.855988,15325738
2015-08-08,100.912628,100.137642,339.077881,346.459961,346.459961,77699515
2015-08-09,346.617920,371.656738,348.011444,377.666748,377.666748,33893310
2015-08-10,378.229492,375.263153,397.186920,373.309052,373.309052,29613187
2015-08-11,373.128387,253.203766,381.981903,253.203766,253.203766,23817651
2015-08-12,253.402298,273.602661,218.981049,218.800766,218.800766,22026121
2015-08-13,218.642242,222.221878,201.554810,144.489594,144.489594,15147935
2015-08-14,144.518051,144.008759,135.680573,145.349289,145.349289,14821163
2015-08-15,145.266678,149.391464,154.432663,154.864685,154.864685,11440048
2015-08-16,155.051208,169.158218,214.566772,165.071335,165.071335,18975985
2015-08-17,165.060486,170.662155,186.802963,214.335907,214.335907,17960942
2015-08-18,214.294357,221.938660,194.176254,194.176254,194.176254,38772146
2015-08-19,207.599777,183.729568,183.028870,180.071136,180.071136,48352710
2015-08-20,180.241928,177.611740,181.347733,160.657013,160.657013,22031888
2015-08-21,160.660416,155.857651,152.923386,166.681213,166.681213,16608564
2015-08-22,166.747879,166.787933,159.612946,167.041916,167.041916,16825200
2015-08-23,167.031769,165.785416,168.792526,168.690994,168.690994,13608455
2015-08-24,168.648849,168.050934,169.944962,170.957596,170.957596,48097241
2015-08-25,170.610794,185.583771,169.594879,194.362030,194.362030,53578244
2015-08-26,194.771622,194.552841,207.380646,194.684814,194.684814,27421101
2015-08-27,194.873627,193.403687,196.555954,195.842575,195.842575,19086305
2015-08-28,195.783325,194.751801,197.143555,194.225357,194.225357,26302798
2015-08-29,194.353775,193.191086,192.997284,194.308929,194.308929,14496217
2015-08-30,194.406189,195.339493,174.989853,173.399994,173.399994,14714679
2015-08-31,173.667572,169.140747,165.565048,169.378220,169.378220,15248207
2015-09-01,169.525467,168.927017,168.262894,168.776627,168.776627,15222679
2015-09-02,168.707077,172.904083,170.802872,177.082672,177.082672,14489200
2015-09-03,177.113571,175.503601,176.939850,179.601608,179.601608,13820556
2015-09-04,179.626907,180.888596,181.061340,180.709991,180.709991,16448754
2015-09-05,180.632309,177.253784,179.462860,175.543198,175.543198,15440128
2015-09-06,175.431900,183.467392,176.452515,185.086563,185.086563,19658270
2015-09-07,185.159119,189.955902,184.333359,192.393936,192.393936,16999381
2015-09-08,192.393127,193.174332,193.089798,196.073303,196.073303,21634409
2015-09-09,195.918762,197.551865,197.880264,197.402359,197.402359,19590133
2015-09-10,197.541595,198.430664,197.283188,204.565399,204.565399,18198640
2015-09-11,204.438446,210.023331,204.579910,244.264755,244.264755,19557600
2015-09-12,244.008392,245.320541,227.128082,226.455750,226.455750,17292655
2015-09-13,226.468262,234.356674,245.666687,246.272644,246.272644,19742238
2015-09-14,246.376266,259.290863,245.414261,263.406006,263.406006,23980449
2015-09-15,263.232422,247.892059,244.857086,243.860291,243.860291,20306654
2015-09-16,243.803116,246.232315,247.841980,252.532410,252.532410,22205426
2015-09-17,252.515884,256.178162,252.993546,262.870911,262.870911,21659482
2015-09-18,267.115784,268.450043,269.505096,272.905060,272.905060,23711550
2015-09-19,272.768005,275.661804,275.532837,262.347412,262.347412,14406991
2015-09-20,262.240875,261.383942,263.098602,246.377670,246.377670,15392157
2015-09-21,246.382996,245.584793,257.712341,247.087509,247.087509,21412183
2015-09-22,246.961273,256.615692,260.183258,255.731903,255.731903,27732769
2015-09-23,256.084534,255.659683,259.010040,257.758484,257.758484,19312716
2015-09-24,257.842407,286.228333,256.866699,288.257202,288.257202,30847450
2015-09-25,288.051941,308.513855,285.069916,319.392181,319.392181,30376105
2015-09-26,319.299835,323.683868,318.286865,298.156036,298.156036,17461479
2015-09-27,297.900299,311.665955,320.495911,322.897339,322.897339,19671382
2015-09-28,323.006927,404.137421,321.759827,410.272339,410.272339,42397657
2015-09-29,410.056183,421.762817,394.302551,357.994904,357.994904,34321148
2015-09-30,357.923828,368.766418,367.170349,319.585602,319.585602,26729385
2015-10-01,319.509796,334.026825,347.653717,344.166870,344.166870,29684681
