Date,Open,High,Low,Close,Adj Close,Volume
2015-12-22,0.447572,0.465267,0.417201,0.438607,0.438607,23683
2015-12-23,0.437505,0.458058,0.427932,0.442182,0.442182,33468
2015-12-24,0.440983,0.451779,0.433115,0.446889,0.446889,21531
2015-12-25,0.446409,0.452467,0.440229,0.441231,0.441231,9093
2015-12-26,0.445555,0.450820,0.397629,0.407105,0.407105,15463
2015-12-27,0.409101,0.425043,0.401883,0.411927,0.411927,15113
2015-12-28,0.412497,0.419263,0.404798,0.407298,0.407298,13420
2015-12-29,0.407112,0.430704,0.402081,0.417614,0.417614,13714
2015-12-30,0.417789,0.431528,0.400297,0.403392,0.403392,31454
2015-12-31,0.403771,0.436189,0.404328,0.433311,0.433311,25340
2016-01-01,0.433592,0.512795,0.428442,0.458526,0.458526,81887
2016-01-02,0.458926,0.519776,0.458926,0.490577,0.490577,59772
2016-01-03,0.490737,0.497872,0.452193,0.461160,0.461160,39853
2016-01-04,0.466544,0.488585,0.460875,0.478089,0.478089,27148
2016-01-05,0.478116,0.505836,0.460011,0.464525,0.464525,28329
2016-01-06,0.464477,0.482138,0.460264,0.468770,0.468770,17688
2016-01-07,0.467002,0.480342,0.437970,0.450951,0.450951,43313
2016-01-08,0.448777,0.463845,0.444942,0.446900,0.446900,17773
2016-01-09,0.443925,0.469732,0.443791,0.448472,0.448472,27016
2016-01-10,0.448128,0.478927,0.437219,0.446802,0.446802,28429
2016-01-11,0.449351,0.456112,0.436808,0.444080,0.444080,20314
2016-01-12,0.443452,0.466178,0.433663,0.452092,0.452092,47150
2016-01-13,0.448134,0.452019,0.420800,0.444926,0.444926,39550
2016-01-14,0.445700,0.457662,0.435385,0.448165,0.448165,31804
2016-01-15,0.447419,0.450897,0.392719,0.392719,0.392719,39903
2016-01-16,0.391356,0.459309,0.391030,0.455241,0.455241,35648
2016-01-17,0.457506,0.466581,0.398960,0.413024,0.413024,56016
2016-01-18,0.409578,0.466042,0.406741,0.461291,0.461291,60477
2016-01-19,0.463943,0.501961,0.459378,0.500462,0.500462,83791
2016-01-20,0.498145,0.524823,0.473113,0.492132,0.492132,110988
2016-01-21,0.488984,0.525997,0.477595,0.506091,0.506091,60723
2016-01-22,0.508295,0.512086,0.472605,0.497632,0.497632,61590
2016-01-23,0.497334,0.602340,0.477592,0.570865,0.570865,173489
2016-01-24,0.571223,0.603769,0.547151,0.576239,0.576239,134562
2016-01-25,0.580617,0.580456,0.519493,0.535810,0.535810,68326
2016-01-26,0.537206,0.594557,0.528691,0.538657,0.538657,78975
2016-01-27,0.538356,0.571184,0.520354,0.560380,0.560380,112343
2016-01-28,0.560152,0.576391,0.511417,0.515026,0.515026,45778
2016-01-29,0.516708,0.516945,0.445192,0.478488,0.478488,75774
2016-01-30,0.476460,0.482438,0.450477,0.472281,0.472281,37260
2016-01-31,0.472598,0.479047,0.445697,0.446668,0.446668,40457
2016-02-01,0.449535,0.468412,0.443357,0.457056,0.457056,38874
2016-02-02,0.461933,0.466297,0.449450,0.458993,0.458993,18855
2016-02-03,0.459176,0.459244,0.440702,0.443579,0.443579,23525
2016-02-04,0.446210,0.463282,0.443873,0.452946,0.452946,27882
2016-02-05,0.452547,0.457943,0.435383,0.444800,0.444800,44593
2016-02-06,0.442387,0.443483,0.420893,0.430523,0.430523,32076
2016-02-07,0.433904,0.451910,0.422640,0.430309,0.430309,48039
2016-02-08,0.429267,0.450144,0.429228,0.430532,0.430532,27561
2016-02-09,0.430534,0.432512,0.411125,0.411882,0.411882,35180
2016-02-10,0.411835,0.430100,0.404440,0.425832,0.425832,46598
2016-02-11,0.424743,0.525223,0.423023,0.456490,0.456490,200833
2016-02-12,0.457702,0.548954,0.450439,0.544395,0.544395,154214
2016-02-13,0.538023,0.803313,0.536365,0.714880,0.714880,928673
2016-02-14,0.715627,0.759958,0.604545,0.754235,0.754235,502859
2016-02-15,0.736680,0.758607,0.662573,0.708409,0.708409,403012
2016-02-16,0.708608,0.899928,0.689814,0.839910,0.839910,759690
2016-02-17,0.854518,0.856992,0.638996,0.659432,0.659432,560456
2016-02-18,0.658495,0.714466,0.622622,0.697589,0.697589,198590
2016-02-19,0.697933,0.765807,0.657492,0.736060,0.736060,179670
2016-02-20,0.744528,0.793990,0.708943,0.740892,0.740892,277605
2016-02-21,0.738928,0.747195,0.664276,0.703371,0.703371,161968
2016-02-22,0.701115,0.744099,0.686831,0.705760,0.705760,119360
2016-02-23,0.707754,0.719581,0.666074,0.686442,0.686442,73520
2016-02-24,0.687159,0.728019,0.678471,0.727616,0.727616,110580
2016-02-25,0.732349,0.805250,0.711507,0.731719,0.731719,213186
2016-02-26,0.731506,0.753896,0.715540,0.744164,0.744164,68961
2016-02-27,0.750377,0.786329,0.737767,0.758895,0.758895,93187
2016-02-28,0.758107,0.813069,0.734581,0.797001,0.797001,133125
2016-02-29,0.796806,0.814809,0.775088,0.799874,0.799874,125140
2016-03-01,0.799437,0.817591,0.754078,0.779695,0.779695,188139
2016-03-02,0.778224,0.799783,0.757354,0.761602,0.761602,117501
2016-03-03,0.758116,1.042231,0.752641,0.995898,0.995898,714697
2016-03-04,1.000091,1.133230,0.946267,0.999028,0.999028,747579
2016-03-05,1.000364,1.246683,1.000364,1.092048,1.092048,1045383
2016-03-06,1.086169,1.144890,0.957034,1.094559,1.094559,830409
2016-03-07,1.097634,1.112483,0.912336,0.972943,0.972943,467511
2016-03-08,0.980490,1.085920,0.926682,1.078869,1.078869,308807
2016-03-09,1.078742,1.201461,1.000274,1.131306,1.131306,752212
2016-03-10,1.135631,1.196221,0.956317,0.979696,0.979696,391713
2016-03-11,0.981172,1.019900,0.967686,0.984064,0.984064,121017
2016-03-12,0.984387,1.070343,0.947000,1.035351,1.035351,297923
2016-03-13,1.033943,1.119292,1.011533,1.114978,1.114978,247363
2016-03-14,1.110221,1.114642,1.001522,1.005785,1.005785,176466
2016-03-15,1.007407,1.062024,0.993806,1.029914,1.029914,199628
2016-03-16,1.025214,1.081562,1.003490,1.022835,1.022835,139349
2016-03-17,1.022158,1.186976,0.932273,1.150256,1.150256,451387
2016-03-18,1.158442,1.177344,0.982824,1.017903,1.017903,362849
2016-03-19,1.018161,1.117007,1.003879,1.072652,1.072652,242351
2016-03-20,1.068915,1.353680,1.061442,1.345582,1.345582,869212
2016-03-21,1.352218,1.361195,1.208216,1.327515,1.327515,729619
2016-03-22,1.318043,1.359056,1.196203,1.236946,1.236946,535962
2016-03-23,1.203539,1.309483,1.195986,1.301781,1.301781,393671
2016-03-24,1.301539,1.546789,1.249328,1.524693,1.524693,1103539
2016-03-25,1.515895,1.564801,1.413659,1.435959,1.435959,665536
2016-03-26,1.435860,1.547303,1.418262,1.521532,1.521532,453016
2016-03-27,1.514301,1.542939,1.278473,1.372389,1.372389,880054
2016-03-28,1.375563,1.400493,1.251027,1.330368,1.330368,528030
2016-03-29,1.329832,1.355447,1.292153,1.320941,1.320941,287472
2016-03-30,1.314244,1.342041,1.244191,1.276150,1.276150,286046
2016-03-31,1.268612,1.285944,1.221680,1.231124,1.231124,173925
2016-04-01,1.239017,1.299728,1.238691,1.283420,1.283420,310526
2016-04-02,1.283745,1.382445,1.281136,1.359919,1.359919,385440
2016-04-03,1.343506,1.389603,1.296777,1.354490,1.354490,223862
2016-04-04,1.361634,1.402424,1.318025,1.402424,1.402424,260195
2016-04-05,1.386411,1.385370,1.275163,1.337036,1.337036,355497
2016-04-06,1.334277,1.373815,1.282395,1.326665,1.326665,222692
2016-04-07,1.323129,1.375277,1.315749,1.320079,1.320079,257811
2016-04-08,1.326942,1.357779,1.004080,1.086129,1.086129,470221
2016-04-09,1.102316,1.205176,0.990735,0.990735,0.990735,822081
2016-04-10,1.002930,1.030462,0.808689,0.961001,0.961001,1114005
2016-04-11,0.982084,0.990533,0.863967,0.896388,0.896388,269949
2016-04-12,0.896169,0.899290,0.769894,0.839910,0.839910,533437
2016-04-13,0.829856,0.944443,0.811399,0.913855,0.913855,365250
2016-04-14,0.912897,0.945192,0.866549,0.893590,0.893590,176719
2016-04-15,0.893847,0.907366,0.844220,0.877788,0.877788,324475
2016-04-16,0.878099,0.884219,0.839920,0.867006,0.867006,99210
2016-04-17,0.867324,0.956897,0.859764,0.917440,0.917440,271215
