Date,Open,High,Low,Close,Adj Close,Volume
1987-06-12,2.006067,2.085854,1.960475,2.051660,0.112095,50524500
1987-06-15,2.108650,2.120048,2.051660,2.063058,0.112718,17435700
1987-06-16,2.063058,2.063058,1.971873,1.983271,0.108358,14803500
1987-06-17,2.006067,2.006067,1.971873,1.994669,0.108981,4269000
1987-06-18,1.994669,2.085854,1.994669,2.085854,0.113963,8513100
1987-06-19,2.074456,2.222631,2.051660,2.177039,0.118945,13926600
1987-06-22,2.188437,2.256825,2.188437,2.256825,0.123304,11842800
1987-06-23,2.245427,2.245427,2.188437,2.222631,0.121436,4224000
1987-06-24,2.108650,2.165641,2.108650,2.108650,0.168589,2629800
1987-06-25,2.142844,2.222631,2.142844,2.199835,0.175879,8265000
1987-06-26,2.211233,2.222631,2.177039,2.188437,0.174968,6135000
1987-06-29,2.188437,2.188437,2.142844,2.188437,0.174968,1931100
1987-06-30,2.165641,2.165641,2.131446,2.142844,0.171323,3530400
1987-07-01,2.165641,2.165641,2.074456,2.085854,0.166766,5263800
1987-07-02,2.074456,2.108650,2.063058,2.074456,0.165855,2306100
1987-07-06,2.097252,2.131446,2.097252,2.120048,0.169500,2130300
1987-07-07,2.120048,2.177039,2.120048,2.154243,0.172234,4453200
1987-07-08,2.165641,2.222631,2.097252,2.211233,0.176790,10006200
1987-07-09,2.222631,2.291020,2.211233,2.268224,0.181347,14255400
1987-07-10,2.302418,2.313816,2.234029,2.234029,0.178613,7438500
1987-07-13,2.211233,2.222631,2.199835,2.222631,0.177702,4944300
1987-07-14,2.211233,2.222631,2.188437,2.199835,0.175879,5697600
1987-07-15,2.222631,2.302418,2.211233,2.291020,0.183169,9824100
1987-07-16,2.313816,2.416399,2.313816,2.416399,0.193194,12719700
1987-07-17,2.450593,2.507584,2.450593,2.484788,0.198661,15680700
1987-07-20,2.484788,2.484788,2.439195,2.439195,0.195016,7804500
1987-07-21,2.416399,2.439195,2.405001,2.405001,0.192282,9785100
1987-07-22,2.382205,2.393603,2.313816,2.313816,0.184992,4134000
1987-07-23,2.348010,2.393603,2.336612,2.336612,0.186815,6952500
1987-07-24,2.348010,2.450593,2.348010,2.382205,0.190460,6714000
1987-07-27,2.405001,2.439195,2.359408,2.370807,0.189548,3587100
1987-07-28,2.393603,2.450593,2.393603,2.439195,0.195016,4315200
1987-07-29,2.496186,2.518982,2.473390,2.507584,0.200484,8654700
1987-07-30,2.541778,2.553176,2.518982,2.518982,0.201395,4573500
1987-07-31,2.564574,2.644361,2.564574,2.644361,0.211419,4290600
1987-08-03,2.644361,2.667157,2.575973,2.575973,0.205952,1613400
1987-08-04,2.587371,2.610167,2.541778,2.610167,0.208686,3100200
1987-08-05,2.553176,2.553176,2.507584,2.507584,0.200484,6600300
1987-08-06,2.530380,2.530380,2.496186,2.507584,0.200484,1740900
1987-08-07,2.530380,2.644361,2.530380,2.610167,0.208686,2832600
1987-08-10,2.655759,2.689954,2.644361,2.667157,0.213242,3490800
1987-08-11,2.678555,2.678555,2.621565,2.667157,0.213242,3762000
1987-08-12,2.678555,2.678555,2.644361,2.655759,0.212331,3193500
1987-08-13,2.621565,2.632963,2.598769,2.610167,0.208686,1414500
1987-08-14,2.632963,2.632963,2.541778,2.553176,0.204129,4561800
1987-08-17,2.541778,2.541778,2.507584,2.518982,0.201395,2293800
1987-08-18,2.541778,2.541778,2.507584,2.530380,0.202306,1815900
1987-08-19,2.507584,2.507584,2.484788,2.496186,0.199573,2121900
1987-08-20,2.530380,2.530380,2.484788,2.518982,0.201395,2467200
1987-08-21,2.541778,2.541778,2.507584,2.530380,0.202306,650400
1987-08-24,2.541778,2.610167,2.541778,2.575973,0.205952,856200
1987-08-25,2.587371,2.598769,2.575973,2.587371,0.206863,3304200
1987-08-26,2.598769,2.598769,2.553176,2.553176,0.204129,2932200
1987-08-27,2.564574,2.610167,2.553176,2.598769,0.207774,3109500
1987-08-28,2.587371,2.644361,2.553176,2.587371,0.206863,1435800
1987-08-31,2.610167,2.621565,2.598769,2.598769,0.207774,1068900
1987-09-01,2.598769,2.610167,2.553176,2.553176,0.204129,1172100
1987-09-02,2.553176,2.553176,2.496186,2.507584,0.200484,4225800
1987-09-03,2.473390,2.496186,2.461992,2.496186,0.199573,1092300
1987-09-04,2.530380,2.598769,2.530380,2.575973,0.205952,10754400
1987-09-08,2.575973,2.575973,2.507584,2.518982,0.201395,6426600
1987-09-09,2.518982,2.518982,2.484788,2.507584,0.200484,2090400
1987-09-10,2.541778,2.541778,2.530380,2.541778,0.203218,2556900
1987-09-11,2.553176,2.575973,2.541778,2.564574,0.205040,1559100
1987-09-14,2.598769,2.621565,2.587371,2.621565,0.209597,1863600
1987-09-15,2.598769,2.598769,2.553176,2.587371,0.206863,2149200
1987-09-16,2.587371,2.587371,2.564574,2.564574,0.205040,1305900
1987-09-17,2.587371,2.587371,2.575973,2.575973,0.205952,2331300
1987-09-18,2.598769,2.610167,2.541778,2.541778,0.203218,3990600
1987-09-21,2.564574,2.564574,2.496186,2.518982,0.201395,3417300
1987-09-22,2.507584,2.507584,2.427797,2.461992,0.196839,1236300
1987-09-23,2.461992,2.473390,2.450593,2.473390,0.197750,2660400
1987-09-24,2.461992,2.473390,2.450593,2.450593,0.195927,684300
1987-09-25,2.450593,2.450593,2.405001,2.416399,0.193194,1570500
1987-09-28,2.405001,2.507584,2.405001,2.461992,0.196839,2102100
1987-09-29,2.496186,2.518982,2.484788,2.496186,0.199573,1137300
1987-09-30,2.439195,2.461992,2.439195,2.450593,0.195927,1645200
1987-10-01,2.473390,2.496186,2.461992,2.484788,0.198661,1547400
1987-10-02,2.484788,2.496186,2.473390,2.484788,0.198661,2691300
1987-10-05,2.518982,2.518982,2.496186,2.518982,0.201395,1563300
1987-10-06,2.507584,2.518982,2.439195,2.450593,0.195927,2236500
1987-10-07,2.450593,2.450593,2.416399,2.416399,0.193194,1533600
1987-10-08,2.439195,2.439195,2.416399,2.416399,0.193194,971700
1987-10-09,2.427797,2.427797,2.348010,2.348010,0.187726,1740000
1987-10-12,2.336612,2.348010,2.234029,2.256825,0.180436,2875500
1987-10-13,2.325214,2.393603,2.325214,2.393603,0.191371,4077300
1987-10-14,2.393603,2.393603,2.336612,2.336612,0.186815,2914500
1987-10-15,2.382205,2.382205,2.348010,2.359408,0.188637,6953700
1987-10-16,2.405001,2.405001,2.336612,2.348010,0.187726,11404200
1987-10-19,2.188437,2.188437,1.983271,2.006067,0.160387,7667700
1987-10-20,2.051660,2.074456,1.458958,2.074456,0.165855,11075400
1987-10-21,1.960475,2.063058,1.949077,2.028863,0.162210,7821300
1987-10-22,1.960475,1.960475,1.732512,1.892086,0.151274,7008600
1987-10-23,1.823697,1.914882,1.823697,1.903484,0.152185,2732100
1987-10-26,1.732512,1.732512,1.561541,1.572939,0.125758,3997200
1987-10-27,1.778105,1.778105,1.664124,1.732512,0.138516,6756900
1987-10-28,1.618531,1.743911,1.607133,1.629930,0.130315,5477100
1987-10-29,1.561541,1.778105,1.550143,1.698318,0.135782,7116300
1987-10-30,1.846494,1.846494,1.766707,1.823697,0.145807,5669700
1987-11-02,1.835096,2.006067,1.835096,1.994669,0.159476,3855600
1987-11-03,1.937678,1.960475,1.880688,1.903484,0.152185,4701300
1987-11-04,1.846494,1.892086,1.846494,1.880688,0.150363,1805400
1987-11-05,1.880688,2.017465,1.880688,1.949077,0.155831,1918200
1987-11-06,1.892086,1.937678,1.892086,1.914882,0.153097,697800
1987-11-09,1.903484,1.903484,1.778105,1.800901,0.143984,1148100
1987-11-10,1.732512,1.732512,1.675522,1.698318,0.135782,4280400
1987-11-11,1.743911,1.812299,1.709716,1.812299,0.144895,2400900
1987-11-12,1.960475,1.960475,1.892086,1.926280,0.154008,1968000
1987-11-13,1.926280,1.926280,1.823697,1.857892,0.148540,1979100
1987-11-16,1.869290,1.892086,1.857892,1.869290,0.149452,1036200
1987-11-17,1.846494,1.846494,1.823697,1.823697,0.145807,3017400
1987-11-18,1.812299,1.869290,1.812299,1.857892,0.148540,1805400
1987-11-19,1.846494,1.869290,1.846494,1.857892,0.148540,1046700
1987-11-20,1.846494,1.880688,1.835096,1.869290,0.149452,2197800
1987-11-23,1.892086,1.937678,1.892086,1.937678,0.154919,1188900
1987-11-24,1.937678,1.937678,1.892086,1.892086,0.151274,2240100
1987-11-25,1.892086,1.914882,1.892086,1.892086,0.151274,560400
1987-11-27,1.869290,1.949077,1.869290,1.914882,0.153097,597600
1987-11-30,1.880688,1.892086,1.823697,1.869290,0.149452,2023800
1987-12-01,1.857892,1.869290,1.846494,1.857892,0.148540,1557900
1987-12-02,1.823697,1.846494,1.812299,1.835096,0.146718,939900
1987-12-03,1.835096,1.846494,1.778105,1.789503,0.143073,1773000
1987-12-04,1.755309,1.778105,1.755309,1.755309,0.140339,931200
1987-12-07,1.743911,1.789503,1.743911,1.778105,0.142161,1799100
1987-12-08,1.766707,1.789503,1.755309,1.789503,0.143073,2015400
1987-12-09,1.789503,1.846494,1.789503,1.823697,0.145807,1415400
1987-12-10,1.789503,1.937678,1.789503,1.914882,0.153097,1521000
1987-12-11,1.869290,1.937678,1.869290,1.937678,0.154919,993000
1987-12-14,1.937678,1.937678,1.892086,1.926280,0.154008,731700
1987-12-15,1.926280,1.926280,1.914882,1.926280,0.154008,1387200
1987-12-16,1.914882,1.971873,1.914882,1.949077,0.155831,2870400
1987-12-17,2.051660,2.108650,2.040262,2.097252,0.167678,2643300
1987-12-18,2.097252,2.131446,2.040262,2.097252,0.167678,2769300
1987-12-21,2.108650,2.154243,2.108650,2.131446,0.170411,1069800
1987-12-22,2.142844,2.142844,2.120048,2.120048,0.169500,1724100
1987-12-23,2.131446,2.154243,2.120048,2.142844,0.171323,2091300
1987-12-24,2.120048,2.199835,2.120048,2.188437,0.174968,420300
1987-12-28,2.165641,2.165641,1.983271,2.028863,0.162210,1555800
1987-12-29,2.017465,2.040262,2.017465,2.028863,0.162210,728400
1987-12-30,2.017465,2.074456,2.017465,2.074456,0.165855,846900
1987-12-31,2.051660,2.074456,2.028863,2.040262,0.163121,1530600
1988-01-04,2.040262,2.108650,2.040262,2.108650,0.172664,909300
1988-01-05,2.222631,2.234029,2.188437,2.188437,0.179197,1284900
1988-01-06,2.188437,2.222631,2.188437,2.222631,0.181997,1730400
1988-01-07,2.188437,2.188437,2.154243,2.188437,0.179197,3772500
1988-01-08,2.177039,2.199835,1.983271,1.983271,0.162397,2022000
1988-01-11,2.097252,2.165641,2.074456,2.154243,0.176397,2495400
1988-01-12,2.142844,2.154243,2.074456,2.074456,0.169864,2657400
1988-01-13,2.085854,2.131446,2.074456,2.097252,0.171730,1682700
1988-01-14,2.097252,2.165641,2.097252,2.165641,0.177330,924000
1988-01-15,2.256825,2.256825,2.177039,2.211233,0.181063,1484100
1988-01-18,2.142844,2.177039,2.142844,2.142844,0.175464,1767300
1988-01-19,2.142844,2.142844,2.074456,2.074456,0.169864,3392100
1988-01-20,2.063058,2.097252,2.051660,2.063058,0.168930,4264500
1988-01-21,2.051660,2.063058,2.040262,2.040262,0.167064,1578900
1988-01-22,2.051660,2.097252,2.051660,2.097252,0.171730,3104400
1988-01-25,2.097252,2.142844,2.097252,2.108650,0.172664,2270400
1988-01-26,2.108650,2.120048,2.097252,2.108650,0.172664,926100
1988-01-27,2.120048,2.131446,2.097252,2.120048,0.173597,2694300
1988-01-28,2.131446,2.188437,2.120048,2.188437,0.179197,6162000
1988-01-29,2.211233,2.222631,2.165641,2.177039,0.178264,4626600
1988-02-01,2.154243,2.165641,2.085854,2.085854,0.170797,4864200
1988-02-02,2.085854,2.131446,2.085854,2.097252,0.171730,3876900
1988-02-03,2.097252,2.097252,2.051660,2.063058,0.168930,4144500
1988-02-04,2.085854,2.085854,2.063058,2.074456,0.169864,1175100
1988-02-05,2.085854,2.085854,2.074456,2.074456,0.169864,807000
1988-02-08,2.074456,2.097252,2.074456,2.085854,0.170797,786000
1988-02-09,2.097252,2.097252,2.063058,2.074456,0.169864,1617900
1988-02-10,2.085854,2.085854,2.051660,2.063058,0.168930,2403600
1988-02-11,2.063058,2.063058,2.051660,2.063058,0.168930,1433400
1988-02-12,2.051660,2.063058,2.028863,2.040262,0.167064,3459000
1988-02-16,2.051660,2.051660,2.028863,2.040262,0.167064,483900
1988-02-17,2.040262,2.074456,2.028863,2.040262,0.167064,1227900
1988-02-18,2.051660,2.051660,2.040262,2.051660,0.167997,440700
1988-02-19,2.051660,2.063058,2.051660,2.063058,0.168930,680700
1988-02-22,2.074456,2.074456,2.051660,2.063058,0.168930,721800
1988-02-23,2.040262,2.063058,2.040262,2.040262,0.167064,1011600
1988-02-24,2.063058,2.097252,2.051660,2.085854,0.170797,1859400
1988-02-25,2.085854,2.085854,2.063058,2.063058,0.168930,1415400
1988-02-26,2.063058,2.097252,2.063058,2.085854,0.170797,1390500
1988-02-29,2.085854,2.097252,2.074456,2.085854,0.170797,340500
1988-03-01,2.120048,2.120048,2.063058,2.074456,0.169864,1912200
1988-03-02,2.085854,2.120048,2.085854,2.120048,0.173597,1998600
1988-03-03,2.142844,2.154243,2.131446,2.142844,0.175464,1744500
1988-03-04,2.142844,2.142844,2.131446,2.142844,0.175464,689400
1988-03-07,2.131446,2.188437,2.131446,2.177039,0.178264,1949100
1988-03-08,2.177039,2.188437,2.165641,2.177039,0.178264,458400
1988-03-09,2.188437,2.211233,2.188437,2.188437,0.179197,1077300
1988-03-10,2.177039,2.177039,2.154243,2.154243,0.176397,2608500
1988-03-11,2.142844,2.142844,2.097252,2.120048,0.173597,1483200
1988-03-14,2.131446,2.131446,2.120048,2.131446,0.174530,161100
1988-03-15,2.142844,2.142844,2.120048,2.142844,0.175464,408900
1988-03-16,2.142844,2.142844,2.120048,2.131446,0.174530,228000
1988-03-17,2.131446,2.142844,2.108650,2.120048,0.173597,643800
1988-03-18,2.131446,2.154243,2.131446,2.142844,0.175464,582600
1988-03-21,2.142844,2.154243,2.120048,2.154243,0.176397,685200
1988-03-22,2.131446,2.142844,2.108650,2.131446,0.174530,611100
1988-03-23,2.142844,2.142844,2.131446,2.131446,0.174530,669300
1988-03-24,2.108650,2.142844,2.108650,2.108650,0.172664,983700
1988-03-25,2.097252,2.108650,2.051660,2.051660,0.167997,3079800
1988-03-28,2.051660,2.063058,2.028863,2.040262,0.167064,1650300
1988-03-29,2.063058,2.063058,2.040262,2.063058,0.168930,5925000
1988-03-30,2.051660,2.063058,2.051660,2.051660,0.167997,800100
1988-03-31,2.051660,2.085854,2.040262,2.085854,0.170797,607200
1988-04-04,2.074456,2.120048,2.074456,2.097252,0.171730,931200
1988-04-05,2.097252,2.131446,2.097252,2.120048,0.173597,2052600
1988-04-06,2.120048,2.120048,2.085854,2.097252,0.171730,1177800
1988-04-07,2.097252,2.120048,2.097252,2.108650,0.172664,1218600
1988-04-08,2.108650,2.108650,2.097252,2.097252,0.171730,743100
1988-04-11,2.120048,2.131446,2.108650,2.131446,0.174530,2021100
1988-04-12,2.142844,2.142844,2.120048,2.131446,0.174530,1291500
1988-04-13,2.131446,2.131446,2.120048,2.131446,0.174530,816000
