Date,Open,High,Low,Close,Adj Close,Volume
2020-01-03,3787.570068,3787.570068,3745.540039,3773.370117,3773.370117,30343400
2020-01-06,3764.340088,3764.340088,3710.939941,3752.520020,3752.520020,28339400
2020-01-07,3760.090088,3784.419922,3748.129883,3759.250000,3759.250000,29853300
2020-01-08,3752.870117,3775.429932,3732.899902,3772.560059,3772.560059,34988400
2020-01-09,3782.770020,3807.090088,3782.770020,3795.879883,3795.879883,33480100
2020-01-10,3801.120117,3803.909912,3786.929932,3789.520020,3789.520020,27400900
2020-01-13,3789.870117,3798.580078,3768.449951,3779.679932,3779.679932,27508600
2020-01-14,3779.350098,3783.760010,3745.469971,3774.879883,3774.879883,33071500
2020-01-15,3774.929932,3778.939941,3755.300049,3768.959961,3768.959961,33409000
2020-01-16,3770.959961,3785.669922,3758.550049,3774.139893,3774.139893,17583900
2020-01-17,3780.540039,3813.800049,3780.540039,3808.260010,3808.260010,33003100
2020-01-20,3804.739990,3805.610107,3791.510010,3799.030029,3799.030029,20831600
2020-01-21,3786.260010,3789.120117,3760.360107,3789.120117,3789.120117,27585100
2020-01-22,3792.050049,3802.679932,3765.489990,3769.790039,3769.790039,32477100
2020-01-23,3764.100098,3770.010010,3734.060059,3736.850098,3736.850098,33330600
2020-01-24,3744.750000,3795.330078,3744.750000,3779.159912,3779.159912,31726500
2020-01-27,3754.629883,3754.629883,3673.800049,3677.840088,3677.840088,44844200
2020-01-28,3684.689941,3722.709961,3671.739990,3719.219971,3719.219971,37478400
2020-01-29,3717.639893,3743.260010,3715.739990,3736.360107,3736.360107,36474700
2020-01-30,3717.929932,3717.929932,3676.659912,3690.780029,3690.780029,42455300
2020-01-31,3697.669922,3705.330078,3639.439941,3640.909912,3640.909912,49702300
2020-02-03,3646.860107,3673.280029,3641.840088,3661.270020,3661.270020,32500600
2020-02-04,3670.979980,3732.280029,3670.979980,3732.280029,3732.280029,45379700
2020-02-05,3727.219971,3782.850098,3717.719971,3777.840088,3777.840088,56845600
2020-02-06,3791.070068,3808.739990,3790.540039,3805.520020,3805.520020,52514600
2020-02-07,3804.860107,3806.060059,3782.209961,3798.489990,3798.489990,39161600
2020-02-10,3794.179932,3794.179932,3779.100098,3793.179932,3793.179932,28458100
2020-02-11,3804.459961,3832.060059,3804.459961,3825.840088,3825.840088,38624600
2020-02-12,3829.659912,3854.429932,3829.659912,3854.429932,3854.429932,42244300
2020-02-13,3849.100098,3849.100098,3799.979980,3846.739990,3846.739990,38736400
2020-02-14,3847.929932,3851.419922,3835.790039,3840.969971,3840.969971,29903600
2020-02-17,3843.100098,3854.300049,3841.060059,3853.270020,3853.270020,0
2020-02-18,3848.560059,3848.560059,3826.229980,3836.540039,3836.540039,53062800
2020-02-19,3846.389893,3865.429932,3846.389893,3865.179932,3865.179932,40369200
2020-02-20,3867.280029,3867.280029,3822.979980,3822.979980,3822.979980,41279700
2020-02-21,3816.510010,3827.360107,3776.820068,3800.379883,3800.379883,48443600
2020-02-24,3762.350098,3762.350098,3632.290039,3647.979980,3647.979980,79995300
2020-02-25,3655.840088,3668.699951,3568.479980,3572.510010,3572.510010,62808900
2020-02-26,3567.030029,3595.800049,3467.580078,3577.679932,3577.679932,71790400
2020-02-27,3553.050049,3553.050049,3410.699951,3455.919922,3455.919922,86756400
2020-02-28,3431.520020,3431.520020,3283.179932,3329.489990,3329.489990,123088500
