Date,Open,High,Low,Close,Adj Close,Volume
2015-12-22,3.169994,3.182039,3.098269,3.124000,3.124000,1248017
2015-12-23,3.135739,3.287598,3.133352,3.280827,3.280827,2085540
2015-12-24,3.291940,3.368730,3.291940,3.322999,3.322999,2307851
2015-12-25,3.327448,3.359540,3.291324,3.303335,3.303335,1484425
2015-12-26,3.318272,3.321544,3.082831,3.120769,3.120769,3535997
2015-12-27,3.117033,3.186288,3.092518,3.173737,3.173737,1869002
2015-12-28,3.172605,3.217319,3.149945,3.158689,3.158689,1501111
2015-12-29,3.162882,3.219773,3.131171,3.204486,3.204486,1978815
2015-12-30,3.215234,3.213891,3.155952,3.163944,3.163944,2014506
2015-12-31,3.164090,3.219256,3.125385,3.205757,3.205757,2457277
2016-01-01,3.205158,3.251998,3.195698,3.231700,3.231700,2570611
2016-01-02,3.237502,3.248407,3.216237,3.225419,3.225419,2781598
2016-01-03,3.227113,3.229352,3.178173,3.210499,3.210499,2217854
2016-01-04,3.206839,3.241732,3.196754,3.229893,3.229893,3058344
2016-01-05,3.226760,3.240223,3.214258,3.228201,3.228201,1958178
2016-01-06,3.225772,3.228920,3.205658,3.205458,3.205458,2050176
2016-01-07,3.202218,3.308189,3.185906,3.299890,3.299890,4175682
2016-01-08,3.293170,3.344127,3.241817,3.265514,3.265514,2999350
2016-01-09,3.270519,3.280785,3.242383,3.257910,3.257910,2685259
2016-01-10,3.256620,3.257562,3.199579,3.234312,3.234312,2251486
2016-01-11,3.224755,3.288391,3.227707,3.276481,3.276481,2700165
2016-01-12,3.273165,3.275161,3.222655,3.222655,3.222655,4211834
2016-01-13,3.219242,3.220900,3.171773,3.193404,3.193404,6197179
2016-01-14,3.188728,3.198824,3.158132,3.192989,3.192989,1883823
2016-01-15,3.191193,3.191240,2.746819,2.746819,2.746819,4690779
2016-01-16,2.718350,2.848011,2.675949,2.829459,2.829459,3822428
2016-01-17,2.829808,2.841631,2.770434,2.772760,2.772760,1746069
2016-01-18,2.766676,2.807410,2.736038,2.799780,2.799780,2115766
2016-01-19,2.798586,2.806154,2.740910,2.766263,2.766263,1491474
2016-01-20,2.763843,3.153811,2.739489,3.116463,3.116463,4082231
2016-01-21,3.112508,3.128147,2.945832,2.967093,2.967093,3376425
2016-01-22,2.976555,2.987188,2.825428,2.851052,2.851052,3326058
2016-01-23,2.856112,2.916847,2.852507,2.875989,2.875989,2210082
2016-01-24,2.885284,2.973070,2.872570,2.946735,2.946735,1673469
2016-01-25,2.953173,2.952352,2.868672,2.882286,2.882286,1788082
2016-01-26,2.880525,2.917906,2.878105,2.904991,2.904991,2694889
2016-01-27,2.909162,3.046046,2.906288,3.015733,3.015733,4900183
2016-01-28,3.020695,3.029502,2.845775,2.853631,2.853631,2812676
2016-01-29,2.870313,2.878647,2.799909,2.872662,2.872662,2359782
2016-01-30,2.878894,2.884147,2.839184,2.844428,2.844428,1199316
2016-01-31,2.859320,2.874961,2.812734,2.820068,2.820068,1340293
2016-02-01,2.839721,2.855855,2.806839,2.824452,2.824452,1379008
2016-02-02,2.834337,2.840026,2.813225,2.817763,2.817763,1172270
2016-02-03,2.827400,2.828136,2.740559,2.747750,2.747750,1268199
2016-02-04,2.756767,2.839791,2.752508,2.824658,2.824658,1839197
2016-02-05,2.832464,2.831958,2.801778,2.811551,2.811551,1086029
2016-02-06,2.822807,2.826660,2.757729,2.777131,2.777131,1249816
2016-02-07,2.786630,2.801174,2.763543,2.769913,2.769913,1049250
2016-02-08,2.775245,2.785077,2.730552,2.737249,2.737249,861963
2016-02-09,2.749692,2.731021,2.726975,2.730418,2.730418,1060854
2016-02-10,2.737002,2.790534,2.725578,2.743529,2.743529,1204396
2016-02-11,2.758500,2.770721,2.710531,2.718900,2.718900,1117096
2016-02-12,2.733593,2.770377,2.726988,2.765861,2.765861,925811
2016-02-13,2.771416,2.791317,2.767798,2.781699,2.781699,1167451
2016-02-14,2.797734,2.855808,2.797734,2.860978,2.860978,1714658
2016-02-15,2.880093,2.896430,2.842930,2.847883,2.847883,1361288
2016-02-16,2.865566,2.894542,2.850583,2.880361,2.880361,1327914
2016-02-17,2.896787,2.936034,2.872456,2.915120,2.915120,1670678
2016-02-18,2.918870,2.942252,2.901778,2.928425,2.928425,1280978
2016-02-19,2.936548,2.948261,2.905423,2.923068,2.923068,1599784
2016-02-20,2.936835,3.146765,2.930131,3.107468,3.107468,3304502
2016-02-21,3.109247,3.220381,3.055464,3.115351,3.115351,3164523
2016-02-22,3.116834,3.187215,3.097564,3.160042,3.160042,1874800
2016-02-23,3.164741,3.194110,3.071658,3.082234,3.082234,2192895
2016-02-24,3.087986,3.111210,3.020105,3.064720,3.064720,1734026
2016-02-25,3.074927,3.086537,3.023436,3.053734,3.053734,1412176
2016-02-26,3.057336,3.125208,3.005090,3.125208,3.125208,1691566
2016-02-27,3.136202,3.154715,3.103238,3.121632,3.121632,668715
2016-02-28,3.122802,3.172944,3.071353,3.151309,3.151309,903542
2016-02-29,3.150705,3.193402,3.132604,3.166507,3.166507,1315510
2016-03-01,3.168566,3.174607,3.135463,3.156464,3.156464,1042276
2016-03-02,3.157742,3.166872,3.096549,3.096549,3.096549,1352544
2016-03-03,3.095371,3.095941,3.014648,3.036574,3.036574,1655587
2016-03-04,3.034719,3.057084,2.951209,2.953681,2.953681,1326753
2016-03-05,2.955034,2.955162,2.847119,2.900909,2.900909,1534905
2016-03-06,2.900300,2.956779,2.884669,2.931437,2.931437,919608
2016-03-07,2.931411,2.971076,2.912090,2.967984,2.967984,960281
2016-03-08,2.971308,2.973529,2.928699,2.958920,2.958920,835091
2016-03-09,2.955583,2.993865,2.947257,2.986569,2.986569,1135785
2016-03-10,2.984802,2.937021,2.962487,2.941879,2.941879,803915
2016-03-11,2.940778,3.069209,2.939975,3.035333,3.035333,1618195
2016-03-12,3.041099,3.041808,2.936929,2.950569,2.950569,965438
2016-03-13,2.949888,2.981239,2.945063,2.962824,2.962824,1022063
2016-03-14,2.964337,2.981722,2.969455,2.976681,2.976681,603967
2016-03-15,2.976473,2.998630,2.960231,2.976839,2.976839,672766
2016-03-16,2.978037,2.957474,2.976551,2.950861,2.950861,617868
2016-03-17,2.952617,2.962179,2.909801,2.923789,2.923789,918016
2016-03-18,2.923577,2.923060,2.797037,2.813607,2.813607,1333223
2016-03-19,2.814468,2.835683,2.804554,2.821099,2.821099,548179
